mock_id,question_id,section_order,section,topic,subtopic,difficulty,question_type,marks,negative_marks,time_limit_seconds,question,option_a,option_b,option_c,option_d,option_e,correct_option,correct_answer,explanation
FULL_MOCK_3,1,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Ancient'.,Historic,Old,Traditional,Past,Modern,E,Modern,Modern is opposite in meaning to Ancient.
FULL_MOCK_3,2,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Expand'.,Extend,Enlarge,Develop,Increase,Reduce,E,Reduce,Reduce is opposite in meaning to Expand.
FULL_MOCK_3,3,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Accept'.,Approve,Reject,Allow,Receive,Agree,B,Reject,Reject is opposite in meaning to Accept.
FULL_MOCK_3,4,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Increase'.,Grow,Decrease,Add,Rise,Improve,B,Decrease,Decrease is opposite in meaning to Increase.
FULL_MOCK_3,5,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Permanent'.,Regular,Stable,Temporary,Fixed,Constant,C,Temporary,Temporary is opposite in meaning to Permanent.
FULL_MOCK_3,6,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Success'.,Achievement,Victory,Progress,Failure,Result,D,Failure,Failure is opposite in meaning to Success.
FULL_MOCK_3,7,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Include'.,Add,Cover,Contain,Exclude,Accept,D,Exclude,Exclude is opposite in meaning to Include.
FULL_MOCK_3,8,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Major'.,Large,Minor,Important,Primary,Main,B,Minor,Minor is opposite in meaning to Major.
FULL_MOCK_3,9,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Public'.,Shared,Private,Visible,Common,Open,B,Private,Private is opposite in meaning to Public.
FULL_MOCK_3,10,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Valid'.,Legal,Correct,Proper,Invalid,True,D,Invalid,Invalid is opposite in meaning to Valid.
FULL_MOCK_3,11,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Visible'.,Clear,Bright,Hidden,Open,Seen,C,Hidden,Hidden is opposite in meaning to Visible.
FULL_MOCK_3,12,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Improve'.,Upgrade,Enhance,Develop,Refine,Worsen,E,Worsen,Worsen is opposite in meaning to Improve.
FULL_MOCK_3,13,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Arrival'.,Entry,Come,Reach,Visit,Departure,E,Departure,Departure is opposite in meaning to Arrival.
FULL_MOCK_3,14,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Fresh'.,Recent,New,Young,Stale,Clean,D,Stale,Stale is opposite in meaning to Fresh.
FULL_MOCK_3,15,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Strict'.,Lenient,Hard,Rigid,Exact,Tough,A,Lenient,Lenient is opposite in meaning to Strict.
FULL_MOCK_3,16,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Profit'.,Gain,Income,Revenue,Benefit,Loss,E,Loss,Loss is opposite in meaning to Profit.
FULL_MOCK_3,17,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Create'.,Form,Generate,Build,Destroy,Make,D,Destroy,Destroy is opposite in meaning to Create.
FULL_MOCK_3,18,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Simple'.,Clear,Easy,Complex,Plain,Basic,C,Complex,Complex is opposite in meaning to Simple.
FULL_MOCK_3,19,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Maximum'.,Greatest,Top,Highest,Largest,Minimum,E,Minimum,Minimum is opposite in meaning to Maximum.
FULL_MOCK_3,20,1,English Language,English,Vocabulary,Easy,Antonym,1,-0.25,60,Choose the antonym of 'Secure'.,Guarded,Unsafe,Protected,Safe,Locked,B,Unsafe,Unsafe is opposite in meaning to Secure.
