id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"Reasoning","Easy","Find the next number in the series: 2, 4, 6, 8, ?","9","10","12","14","B","10","The series increases by 2 each time."
2,"Reasoning","Easy","Find the odd one out.","Apple","Mango","Banana","Carrot","D","Carrot","Apple, Mango, and Banana are fruits, while Carrot is a vegetable."
3,"Reasoning","Easy","If A is the brother of B and B is the sister of C, how is A related to C?","Sister","Brother","Mother","Father","B","Brother","A is male and shares sibling relation with B and C."
4,"Reasoning","Easy","A person faces East and turns left. Which direction is he facing now?","North","South","West","East","A","North","Turning left from East leads to North."
5,"Reasoning","Easy","If CAT is coded as DBU, how is DOG coded?","EPH","FQI","CNE","EQH","A","EPH","Each letter is shifted by one position forward."
6,"Reasoning","Easy","All cats are animals. All animals are living beings. Which conclusion follows?","All cats are living beings","All living beings are cats","Some animals are not cats","No cat is living","A","All cats are living beings","If cats are animals and animals are living beings, then cats are living beings."
7,"Reasoning","Easy","Which number is missing: 5, 10, 15, 20, ?","22","24","25","30","C","25","The series increases by 5."
8,"Reasoning","Easy","In a row, Ravi is 5th from the left and 7th from the right. How many people are there?","10","11","12","13","B","11","Total = 5 + 7 - 1 = 11."
9,"Reasoning","Easy","Find the odd one out.","Circle","Triangle","Square","Book","D","Book","Circle, Triangle, and Square are shapes; Book is not."
10,"Reasoning","Easy","If today is Monday, what day will it be after 3 days?","Tuesday","Wednesday","Thursday","Friday","C","Thursday","Monday + 3 days = Thursday."
11,"Reasoning","Easy","Complete the analogy: Hand : Glove :: Foot : ?","Shoe","Cap","Ring","Watch","A","Shoe","Glove is worn on hand; shoe is worn on foot."
12,"Reasoning","Easy","If A = 1, B = 2, C = 3, then what is the value of DOG?","24","25","26","27","C","26","D=4, O=15, G=7, total = 26."
13,"Reasoning","Easy","Which direction is opposite to South-East?","North-East","North-West","South-West","East","B","North-West","The opposite of South-East is North-West."
14,"Reasoning","Easy","Find the next letter: A, C, E, G, ?","H","I","J","K","B","I","The sequence skips one letter each time."
15,"Reasoning","Easy","If all pens are pencils and all pencils are books, then all pens are:","Books","Erasers","Papers","Boxes","A","Books","Pens are pencils and pencils are books, so pens are books."
16,"Reasoning","Easy","Ramesh is taller than Suresh. Suresh is taller than Mahesh. Who is the shortest?","Ramesh","Suresh","Mahesh","Cannot determine","C","Mahesh","Order: Ramesh > Suresh > Mahesh."
17,"Reasoning","Easy","Find the missing term: 1, 4, 9, 16, ?","20","24","25","30","C","25","These are square numbers: 1², 2², 3², 4², 5²."
18,"Reasoning","Easy","If TABLE is coded as UBCMF, then CHAIR is coded as:","DIBJS","DHAJS","DIBIR","CIBJS","A","DIBJS","Each letter is shifted by one position forward."
19,"Reasoning","Easy","Which of the following is a pair of opposite directions?","North and East","South and West","East and West","North and West","C","East and West","East and West are opposite directions."
20,"Reasoning","Easy","Complete the analogy: Doctor : Hospital :: Teacher : ?","Court","School","Bank","Market","B","School","Doctor works in hospital; teacher works in school."
21,"Quantitative Aptitude","Easy","What is 20% of 250?","25","50","75","100","B","50","20% of 250 = 250 × 20/100 = 50."
22,"Quantitative Aptitude","Easy","A ratio is 3:5 and the total is 80. What is the first part?","20","30","40","50","B","30","Total parts = 8, first part = 3/8 × 80 = 30."
23,"Quantitative Aptitude","Easy","Find the average of 10, 20, 30, and 40.","20","25","30","35","B","25","Average = 100/4 = 25."
24,"Quantitative Aptitude","Easy","Cost price is 100 and selling price is 120. What is the profit percentage?","10%","15%","20%","25%","C","20%","Profit = 20, profit percentage = 20/100 × 100 = 20%."
25,"Quantitative Aptitude","Easy","Find the simple interest on Rs.1000 at 10% per annum for 2 years.","Rs.100","Rs.150","Rs.200","Rs.250","C","Rs.200","SI = PRT/100 = 1000 × 10 × 2 / 100 = 200."
26,"Quantitative Aptitude","Easy","A can complete a work in 10 days. What part of work can A complete in 1 day?","1/5","1/10","1/15","1/20","B","1/10","One day work = 1/10."
27,"Quantitative Aptitude","Easy","A car covers 120 km in 3 hours. What is its speed?","30 km/h","40 km/h","50 km/h","60 km/h","B","40 km/h","Speed = Distance / Time = 120/3 = 40 km/h."
28,"Quantitative Aptitude","Easy","What is 15% of 600?","60","75","90","120","C","90","15% of 600 = 600 × 15/100 = 90."
29,"Quantitative Aptitude","Easy","If 5 pens cost Rs.50, what is the cost of 1 pen?","Rs.5","Rs.10","Rs.15","Rs.20","B","Rs.10","Cost of 1 pen = 50/5 = 10."
30,"Quantitative Aptitude","Easy","Find the next number: 2, 4, 8, 16, ?","18","24","32","36","C","32","Each number is multiplied by 2."
31,"Quantitative Aptitude","Easy","A ratio is 2:3 and the total is 50. What is the second part?","20","25","30","35","C","30","Total parts = 5, second part = 3/5 × 50 = 30."
32,"Quantitative Aptitude","Easy","25% is equal to:","1/2","1/3","1/4","1/5","C","1/4","25% = 25/100 = 1/4."
33,"Quantitative Aptitude","Easy","What is 12 × 15?","120","150","180","200","C","180","12 × 15 = 180."
34,"Quantitative Aptitude","Easy","What is the square root of 144?","10","11","12","13","C","12","12 × 12 = 144."
35,"Quantitative Aptitude","Easy","Simplify: 7 + 3 × 4","20","19","40","28","B","19","Multiplication first: 3 × 4 = 12, then 7 + 12 = 19."
36,"Quantitative Aptitude","Easy","If x + 5 = 12, then x = ?","5","6","7","8","C","7","x = 12 - 5 = 7."
37,"Quantitative Aptitude","Easy","Find the area of a rectangle with length 10 cm and breadth 5 cm.","25 sq.cm","40 sq.cm","50 sq.cm","60 sq.cm","C","50 sq.cm","Area = length × breadth = 10 × 5 = 50."
38,"Quantitative Aptitude","Easy","Find the perimeter of a square with side 6 cm.","12 cm","18 cm","24 cm","36 cm","C","24 cm","Perimeter = 4 × side = 4 × 6 = 24."
39,"Quantitative Aptitude","Easy","Simplify: 1/2 + 1/4","1/4","1/2","3/4","1","C","3/4","1/2 = 2/4, so 2/4 + 1/4 = 3/4."
40,"Quantitative Aptitude","Easy","30% of a number is 60. Find the number.","100","150","200","250","C","200","Number = 60 × 100 / 30 = 200."
41,"English","Easy","Choose the correct spelling.","Recieve","Receive","Receeve","Receve","B","Receive","The correct spelling is Receive."
42,"English","Easy","Choose the synonym of 'Happy'.","Sad","Angry","Joyful","Weak","C","Joyful","Joyful means happy."
43,"English","Easy","Choose the antonym of 'Hot'.","Warm","Cold","Heat","Fire","B","Cold","Cold is the opposite of hot."
44,"English","Easy","Fill in the blank: She ___ to school every day.","go","goes","going","gone","B","goes","For third-person singular subject, use 'goes'."
45,"English","Easy","Choose the correct sentence.","He are my friend.","He is my friend.","He am my friend.","He be my friend.","B","He is my friend.","The singular subject 'He' takes 'is'."
46,"English","Easy","Choose the correct article: I saw ___ elephant.","a","an","the","no article","B","an","Use 'an' before vowel sound."
47,"English","Easy","Choose the correct preposition: The book is ___ the table.","on","in","at","by","A","on","Books are placed on a table."
48,"English","Easy","Choose the plural of 'Child'.","Childs","Children","Childes","Childrens","B","Children","The plural of child is children."
49,"English","Easy","Choose the past tense of 'Go'.","Goed","Went","Gone","Going","B","Went","Went is the simple past tense of go."
50,"English","Easy","Choose the correct word: He is ___ honest man.","a","an","the","no article","B","an","The word honest starts with a vowel sound."
51,"English","Easy","Choose the synonym of 'Fast'.","Quick","Slow","Late","Weak","A","Quick","Quick means fast."
52,"English","Easy","Choose the antonym of 'Begin'.","Start","Open","End","Move","C","End","End is the opposite of begin."
53,"English","Easy","Fill in the blank: They ___ playing cricket.","is","am","are","be","C","are","Plural subject 'They' takes 'are'."
54,"English","Easy","Choose the correct sentence.","She have a pen.","She has a pen.","She having a pen.","She had have a pen.","B","She has a pen.","Singular subject 'She' takes 'has'."
55,"English","Easy","Choose the correct form: I ___ completed my work.","has","have","is","are","B","have","Use 'have' with I."
56,"English","Easy","Choose the antonym of 'Strong'.","Powerful","Weak","Hard","Heavy","B","Weak","Weak is the opposite of strong."
57,"English","Easy","Choose the synonym of 'Big'.","Small","Large","Tiny","Short","B","Large","Large means big."
58,"English","Easy","Fill in the blank: The sun rises ___ the east.","in","on","at","from","A","in","The correct phrase is 'in the east'."
59,"English","Easy","Choose the correctly punctuated sentence.","what is your name","What is your name.","What is your name?","what is your name?","C","What is your name?","A question should start with capital letter and end with question mark."
60,"English","Easy","Choose the correct word: I have ___ apple.","a","an","the","some","B","an","Use 'an' before vowel sound."
