id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,DBMS / SQL,Easy,"What is the main purpose of a DBMS?","To design web pages","To manage and organize data efficiently","To compile programming languages","To secure only network traffic",B,"To manage and organize data efficiently","DBMS is used to store, manage, retrieve, and organize data efficiently."
2,DBMS / SQL,Easy,"Which key uniquely identifies each record in a table?","Foreign key","Primary key","Alternate key","Composite key",B,"Primary key","A primary key uniquely identifies each row in a table."
3,DBMS / SQL,Easy,"Can a primary key contain NULL values?","Yes","No","Only in SQL Server","Only for numeric columns",B,"No","A primary key must be unique and cannot contain NULL."
4,DBMS / SQL,Easy,"A foreign key is used to:","Encrypt table data","Create duplicate records","Link one table with another table","Remove indexes from a table",C,"Link one table with another table","A foreign key references the primary key of another table."
5,DBMS / SQL,Easy,"A key formed using two or more columns is called:","Foreign key","Composite key","Surrogate key","Super index",B,"Composite key","A composite key is made from multiple columns."
6,DBMS / SQL,Easy,"First Normal Form mainly ensures:","No transitive dependency","No partial dependency","Atomic values in each column","Every determinant is a candidate key",C,"Atomic values in each column","1NF requires each column value to be atomic, meaning indivisible."
7,DBMS / SQL,Medium,"Second Normal Form removes:","Transitive dependency","Partial dependency","Multivalued dependency","Join dependency",B,"Partial dependency","2NF removes partial dependency from a table."
8,DBMS / SQL,Medium,"Third Normal Form removes:","Partial dependency","Transitive dependency","Primary key dependency","Atomic dependency",B,"Transitive dependency","3NF removes transitive dependency."
9,DBMS / SQL,Medium,"BCNF is stricter than 3NF because:","It allows duplicate rows","It removes all primary keys","Every determinant must be a candidate key","It avoids foreign keys",C,"Every determinant must be a candidate key","In BCNF, every determinant must be a candidate key."
10,DBMS / SQL,Easy,"Which SQL JOIN returns only matching records from both tables?","LEFT JOIN","RIGHT JOIN","FULL JOIN","INNER JOIN",D,"INNER JOIN","INNER JOIN returns records that have matching values in both tables."
11,DBMS / SQL,Easy,"Which JOIN returns all records from the left table and matching records from the right table?","INNER JOIN","LEFT JOIN","RIGHT JOIN","CROSS JOIN",B,"LEFT JOIN","LEFT JOIN keeps all rows from the left table."
12,DBMS / SQL,Easy,"Which clause is used to filter rows before grouping?","HAVING","ORDER BY","WHERE","GROUP BY",C,"WHERE","WHERE filters rows before GROUP BY is applied."
13,DBMS / SQL,Easy,"Which clause is used to filter grouped data?","WHERE","HAVING","SELECT","FROM",B,"HAVING","HAVING is used with aggregate or grouped data."
14,DBMS / SQL,Easy,"Which SQL function is used to count the number of rows?","SUM()","AVG()","COUNT()","TOTAL()",C,"COUNT()","COUNT() returns the number of rows."
15,DBMS / SQL,Easy,"ACID properties are mainly related to:","Web page rendering","Database transactions","CSS styling","Network routing",B,"Database transactions","ACID properties ensure reliable database transactions."
16,DBMS / SQL,Medium,"In ACID, Atomicity means:","Data is always encrypted","Transaction is either fully completed or fully failed","Data is stored permanently","Multiple users cannot access data",B,"Transaction is either fully completed or fully failed","Atomicity follows the all-or-nothing rule."
17,DBMS / SQL,Medium,"In ACID, Durability means:","Data is temporary","Data is deleted after commit","Committed data remains permanent even after failure","Data is always duplicated",C,"Committed data remains permanent even after failure","Durability ensures committed changes are saved permanently."
18,DBMS / SQL,Medium,"Isolation in transactions means:","Each transaction executes without affecting others incorrectly","Tables cannot have relationships","Data cannot be updated","Only one table can exist in a database",A,"Each transaction executes without affecting others incorrectly","Isolation controls how concurrent transactions interact."
19,DBMS / SQL,Medium,"Reading uncommitted data from another transaction is called:","Deadlock","Dirty read","Index scan","Rollback",B,"Dirty read","Dirty read happens when uncommitted data is read."
