id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,Banking Technology,Medium,A customer can access account from any branch because of:,Core Banking Solution,CSS framework,Local text file,Printer queue,A,Core Banking Solution,CBS centralizes account data across branches.
2,Digital Payments,Medium,Which system is real-time gross settlement?,RTGS,NEFT,Cheque truncation,Passbook update,A,RTGS,RTGS settles transactions individually in real time.
3,Digital Payments,Medium,Which payment mode supports instant mobile bank-to-bank transfers using VPA/mobile app?,UPI,MICR,Passbook,Demand draft only,A,UPI,UPI supports instant mobile payments.
4,UPI,Medium,Why is VPA useful?,It avoids sharing full account details for payment,It removes authentication,It stores CVV publicly,It replaces all banks,A,It avoids sharing full account details for payment,VPA acts as a payment alias.
5,UPI,Medium,A UPI collect request means:,Payee requests payer to approve payment,Payer withdraws cash,Bank prints passbook,Merchant prints cheque,A,Payee requests payer to approve payment,Collect request asks payer approval.
6,UPI,Medium,Approving unknown collect request may cause:,Unauthorized debit,Free KYC,ATM refill,Branch change,A,Unauthorized debit,Approving collect request can authorize payment.
7,Security in Banking,Medium,A caller asks for OTP to unblock account. Best action?,Do not share OTP and report,Share OTP,Share card PIN instead,Install unknown app,A,Do not share OTP and report,OTP must not be shared; this is likely fraud.
8,Security in Banking,Medium,SMS link asking for urgent KYC update is likely:,Smishing/phishing,Cheque clearing,Normal passbook update,RTGS settlement,A,Smishing/phishing,Fraudulent SMS links are smishing.
9,Security in Banking,Medium,Best access control for banking admin portal:,Role-based access control,Shared passwords,Public access,No logs,A,Role-based access control,RBAC restricts access by role.
10,Security in Banking,Medium,Maker-checker is useful for:,High-risk operations needing approval,Changing font size,Viewing FAQ,Opening website,A,High-risk operations needing approval,It separates maker and approver roles.
11,Digital Payments,Medium,Money debited but merchant has no success record. What process helps?,Reconciliation,CSS minification,Browser refresh,Passbook design,A,Reconciliation,Reconciliation compares transaction status across systems.
12,Digital Payments,Medium,Returning money after failed debit is called:,Reversal/refund,KYC,MICR,Tokenization only,A,Reversal/refund,Reversal/refund corrects failed transactions.
13,Cards,Medium,Tokenization is useful because it:,Reduces exposure of actual card details,Disables login,Publishes card number,Removes audit,A,Reduces exposure of actual card details,Tokens replace sensitive card data.
14,Cards,Medium,Card transaction at shop is processed through:,POS and payment network,Only passbook printer,Only locker,Only cheque book,A,POS and payment network,POS sends transaction through acquiring/payment network systems.
15,Cards,Medium,Bank issuing card to customer is called:,Issuer bank,Acquirer bank,Merchant bank only,Central bank always,A,Issuer bank,Issuer provides card to customer.
16,Cards,Medium,Merchant’s bank in card transaction is called:,Acquirer bank,Issuer bank,ATM bank only,Customer bank always,A,Acquirer bank,Acquirer enables merchant acceptance.
17,Payments,Medium,Payment gateway helps with:,Online payment authorization and routing,Cash printing,Cheque leaf design,Branch naming,A,Online payment authorization and routing,Gateway connects merchant to payment processing systems.
18,Payments,Medium,Recurring subscription payments usually use:,Mandate/auto-debit with authorization,Monthly OTP sharing,Random IFSC,Manual cash only,A,Mandate/auto-debit with authorization,Mandates enable authorized recurring payments.
19,Banking Technology,Medium,Bank apps communicate with third-party systems using:,APIs,Only paper forms,Only passbook,Only branch notice,A,APIs,APIs enable controlled integration.
20,Open Banking,Medium,Consent in open banking is important because:,Customer data should be shared only with authorization,All data is public,Passwords can be shared,APIs need no security,A,Customer data should be shared only with authorization,Consent protects customer data sharing.
21,Digital Banking,Medium,A key mobile banking risk is:,Device compromise or credential theft,No fraud possibility,No encryption need,Only branch risk,A,Device compromise or credential theft,Mobile devices can be targeted by fraud/malware.
22,Digital Banking,Medium,Which improves mobile banking login security?,MFA/biometric/device binding,Plain password storage,No session timeout,Public OTP sharing,A,MFA/biometric/device binding,Multiple controls reduce unauthorized access.
23,Security in Banking,Medium,Session timeout is used to:,Reduce unattended session misuse,Increase fraud,Show PIN publicly,Disable login forever,A,Reduce unattended session misuse,Timeouts limit risk from inactive sessions.
24,Security in Banking,Medium,Unknown remote access app request should be:,Rejected and reported,Installed immediately,Used with OTP sharing,Used to enter PIN,A,Rejected and reported,Fraudsters use remote access apps for account takeover.
25,KYC / AML,Medium,KYC helps banks to:,Verify customer identity,Change website color,Avoid security,Replace account statement,A,Verify customer identity,KYC establishes identity and supports compliance.
26,KYC / AML,Medium,AML monitoring looks for:,Suspicious transaction patterns,CSS errors,Logo mismatch,Image size only,A,Suspicious transaction patterns,AML detects unusual financial activity.
27,KYC / AML,Medium,Frequent high-value transactions in dormant account may trigger:,Suspicious activity alert,CSS warning,Card embossing,Passbook print only,A,Suspicious activity alert,Unusual patterns can indicate risk.
28,Banking Technology,Medium,Audit logs are important because they:,Track who did what and when,Replace passwords,Increase balance,Disable reconciliation,A,Track who did what and when,Audit logs support accountability.
