id,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,explanation
1,"Computer Networks","Medium","Which layer of the OSI model is responsible for segmentation and reassembly of data?","Network layer","Transport layer","Data Link layer","Application layer","B","Transport layer","The Transport layer breaks data into segments and reassembles them at the destination."
2,"Computer Networks","Medium","Which OSI layer handles error detection using frames?","Physical layer","Data Link layer","Session layer","Application layer","B","Data Link layer","The Data Link layer handles framing, MAC addressing, and error detection."
3,"Computer Networks","Medium","Which OSI layer handles encryption, compression, and data format translation?","Presentation layer","Transport layer","Network layer","Physical layer","A","Presentation layer","The Presentation layer deals with data representation, encryption, compression, and translation."
4,"Computer Networks","Medium","Which TCP/IP layer roughly combines OSI Application, Presentation, and Session layers?","Network Access layer","Internet layer","Transport layer","Application layer","D","Application layer","The TCP/IP Application layer covers responsibilities of OSI Application, Presentation, and Session layers."
5,"Computer Networks","Medium","What happens during the TCP three-way handshake?","SYN, SYN-ACK, ACK","ACK, ACK, FIN","DNS, ARP, DHCP","GET, POST, PUT","A","SYN, SYN-ACK, ACK","TCP establishes a connection using SYN, SYN-ACK, and ACK messages."
6,"Computer Networks","Medium","Which TCP flag is used to initiate a connection?","FIN","RST","SYN","PSH","C","SYN","SYN is used to start a TCP connection."
7,"Computer Networks","Medium","Which TCP flag is commonly used to terminate a connection gracefully?","SYN","FIN","URG","ACK only","B","FIN","FIN is used to close a TCP connection gracefully."
8,"Computer Networks","Medium","Which protocol is better for video streaming where speed is more important than retransmission?","TCP","UDP","SMTP","FTP","B","UDP","UDP is preferred for real-time applications where low latency is more important than perfect reliability."
9,"Computer Networks","Medium","Which protocol is better for file download where reliability is important?","UDP","TCP","ICMP only","ARP","B","TCP","TCP ensures reliable and ordered delivery, which is important for file transfer."
10,"Computer Networks","Medium","If a website URL is typed in a browser, which service is usually contacted first to find the server IP?","DNS","DHCP","SMTP","FTP","A","DNS","DNS resolves the domain name to an IP address before the browser connects to the server."
11,"Computer Networks","Medium","Which protocol helps a device get IP address, subnet mask, gateway, and DNS automatically?","ARP","DHCP","ICMP","SMTP","B","DHCP","DHCP provides automatic IP configuration."
12,"Computer Networks","Medium","Which device separates broadcast domains?","Hub","Switch only","Router","Repeater","C","Router","Routers separate broadcast domains because they forward traffic between different networks."
13,"Computer Networks","Medium","Which device mainly works at Layer 2 and forwards frames based on MAC addresses?","Router","Switch","Gateway only","Modem only","B","Switch","A switch forwards frames using MAC address tables."
14,"Computer Networks","Medium","Which device usually works at Layer 3 and forwards packets based on IP addresses?","Switch","Hub","Router","Repeater","C","Router","Routers use IP addresses to forward packets between networks."
15,"Computer Networks","Medium","What is NAT used for?","Converting private IP addresses to public IP addresses and vice versa","Converting HTML to JSON","Encrypting only emails","Replacing DNS completely","A","Converting private IP addresses to public IP addresses and vice versa","NAT allows private network devices to access external networks using public IP addresses."
16,"Computer Networks","Medium","Which IP range is private?","8.8.8.8","172.16.0.0 to 172.31.255.255","1.1.1.1","44.55.66.77","B","172.16.0.0 to 172.31.255.255","172.16.0.0/12 is a private IP range."
17,"Computer Networks","Medium","Which of the following is also a private IP range?","192.168.0.0/16","11.0.0.0/8","123.45.67.89","99.99.99.99","A","192.168.0.0/16","192.168.0.0/16 is reserved for private networks."
18,"Computer Networks","Medium","Which is another private IPv4 range?","10.0.0.0/8","20.0.0.0/8","30.0.0.0/8","40.0.0.0/8","A","10.0.0.0/8","10.0.0.0/8 is reserved for private networks."
19,"Computer Networks","Medium","In IPv4, how many bits are there in an IP address?","16","32","64","128","B","32","IPv4 addresses are 32-bit addresses."
20,"Computer Networks","Medium","In IPv6, how many bits are there in an IP address?","32","64","128","256","C","128","IPv6 addresses are 128-bit addresses."
21,"Computer Networks","Medium","What does subnet mask help determine?","Network portion and host portion of an IP address","Only browser language","Only MAC address length","Only file size","A","Network portion and host portion of an IP address","Subnet mask separates the network and host parts of an IP address."
22,"Computer Networks","Medium","What is the default subnet mask for a Class C IPv4 address?","255.0.0.0","255.255.0.0","255.255.255.0","255.255.255.255","C","255.255.255.0","Class C networks traditionally use 255.255.255.0 as the default subnet mask."
23,"Computer Networks","Medium","What does 192.168.1.0/24 mean?","24 host bits","24 network bits","24 DNS servers","24 routers","B","24 network bits","/24 means the first 24 bits are network bits."
24,"Computer Networks","Medium","How many usable host addresses are available in a /24 IPv4 network?","254","255","256","24","A","254","A /24 network has 256 total addresses, but network and broadcast addresses are not usable for hosts."
25,"Computer Networks","Medium","What is the broadcast address used for?","Sending data to all hosts in a subnet","Sending data to only one host","Encrypting packets","Resolving domain names","A","Sending data to all hosts in a subnet","Broadcast address is used to send packets to all devices in a subnet."
26,"Computer Networks","Medium","Which command is commonly used to trace the route packets take to a destination?","ping","traceroute/tracert","ipconfig only","mkdir","B","traceroute/tracert","traceroute or tracert shows the path packets take through routers."
27,"Computer Networks","Medium","What does high latency mean?","Delay in data transfer is high","Bandwidth is always unlimited","Server has no IP address","DNS is disabled","A","Delay in data transfer is high","Latency is the time delay for data to travel between source and destination."
28,"Computer Networks","Medium","What is bandwidth?","Maximum data transfer capacity of a network link","Delay before connection starts","Number of DNS records only","Number of routers only","A","Maximum data transfer capacity of a network link","Bandwidth refers to the capacity of a connection to carry data."
29,"Computer Networks","Medium","What is the main purpose of a load balancer?","Distribute incoming traffic across multiple servers","Convert MAC to IP","Assign subnet masks only","Replace all firewalls","A","Distribute incoming traffic across multiple servers","Load balancers improve availability and scalability by distributing traffic."
30,"Computer Networks","Medium","Which server acts as an intermediary between client and destination server?","Proxy server","DNS server only","DHCP server only","Database server only","A","Proxy server","A proxy server forwards requests between clients and destination servers, often adding filtering, caching, or anonymity."
31,"Operating System","Medium","Which scheduling algorithm gives CPU to the process that arrives first?","Round Robin","Shortest Job First","First Come First Serve","Priority Scheduling","C","First Come First Serve","FCFS schedules processes in the order they arrive."
32,"Operating System","Medium","Which scheduling algorithm can cause starvation for long processes?","Shortest Job First","Round Robin","FCFS only","FIFO disk scheduling only","A","Shortest Job First","In SJF, long processes may wait indefinitely if shorter jobs keep arriving."
33,"Operating System","Medium","Which scheduling algorithm uses a fixed time quantum?","Round Robin","FCFS","Non-preemptive SJF","Priority without preemption","A","Round Robin","Round Robin assigns each process a fixed time slice called time quantum."
34,"Operating System","Medium","Which scheduling algorithm is commonly used in time-sharing systems?","Round Robin","FCFS only","Banker's Algorithm","FIFO page replacement","A","Round Robin","Round Robin is suitable for time-sharing because each process gets CPU for a limited time."
35,"Operating System","Medium","If the time quantum in Round Robin is too small, what happens?","Too many context switches","No process executes","Deadlock always occurs","Paging stops","A","Too many context switches","Very small time quantum increases context switching overhead."
36,"Operating System","Medium","If the time quantum in Round Robin is too large, it behaves similar to:","FCFS","SJF only","Priority scheduling only","LRU","A","FCFS","A very large quantum makes Round Robin behave like FCFS."
37,"Operating System","Medium","Turnaround time is calculated as:","Completion time - Arrival time","Start time - Arrival time","Waiting time - Burst time","Arrival time + Priority","A","Completion time - Arrival time","Turnaround time is the total time from arrival to completion."
38,"Operating System","Medium","Waiting time is generally calculated as:","Turnaround time - Burst time","Completion time + Burst time","Arrival time - Completion time","Priority + Burst time","A","Turnaround time - Burst time","Waiting time is the time spent waiting in the ready queue."
39,"Operating System","Medium","Response time is:","First response time - Arrival time","Completion time - Arrival time","Burst time + Waiting time","Turnaround time + Priority","A","First response time - Arrival time","Response time measures how quickly a process first gets CPU."
40,"Operating System","Medium","Which of the following is NOT a necessary condition for deadlock?","Mutual exclusion","Hold and wait","Circular wait","High bandwidth","D","High bandwidth","Deadlock requires mutual exclusion, hold and wait, no preemption, and circular wait."
41,"Operating System","Medium","Which deadlock condition means resources cannot be forcibly taken away?","No preemption","Circular wait","Mutual exclusion","Hold and wait","A","No preemption","No preemption means resources cannot be taken until the process releases them."
42,"Operating System","Medium","Which deadlock condition means a process holds one resource while waiting for another?","Hold and wait","No preemption","Starvation","Paging","A","Hold and wait","Hold and wait occurs when processes keep resources while requesting more."
43,"Operating System","Medium","Banker's Algorithm is used for:","Deadlock avoidance","Page replacement","CPU cache mapping","File compression","A","Deadlock avoidance","Banker's Algorithm checks whether resource allocation leaves the system in a safe state."
44,"Operating System","Medium","A safe state means:","There exists an order in which all processes can finish","Deadlock has already occurred","No process can execute","Memory is full","A","There exists an order in which all processes can finish","A safe state guarantees at least one sequence that allows all processes to complete."
45,"Operating System","Medium","Starvation occurs when:","A process waits indefinitely for CPU or resources","All processes complete quickly","Memory is fully free","Disk is formatted","A","A process waits indefinitely for CPU or resources","Starvation happens when a process is repeatedly denied required resources."
